spectraltype,redshift,color,temperature,gravity,metallicity
F9V,4.983913E-05,0.486,5790,3.7,-0.65
G0V,-7.242973E-05,0.572,5661,4.27,-0.37
G0V,-2.062349E-05,0.572,5661,4.27,-0.37
G0V,-9.581014E-05,0.572,5661,4.27,-0.37
G8V,4.505151E-05,0.692,5285,4.62,-0.71
G5,0.0001043044,0.759,5262,4.5,-0.03
G0,3.11246E-05,0.645,5467,4.68,-0.4
sdG2,0.0003770592,0.621,5405,4.49,-1.7
G1V,0.0001100723,0.561,5659,4.42,-0.6
0,0.0002944024,0,4752,4.641,-0.91
K5V,2.274581E-05,0.983,4576,4.414,-0.39
G8V,7.330961E-05,0.692,5285,4.62,-0.71
K5V,0.0001549024,0.983,4576,4.414,-0.39
G2V,-0.0001787397,0.581,5506,3.8,-0.5
sdG2,0.000339444,0.621,5405,4.49,-1.7
K1V...,0.0004286595,0.863,4801,4.6,-1.72
